Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevotella Septic Abortion,Very rare,20,80,both,Vaginal discharge,uterine tenderness,pelvic pain,nausea,,,,,,,,,,,,,,,,,,,,,
Priapism,Rare,0,100,both,Penile pain,difficulty urinating,blood in semen,,,,,,,,,,,,,,,,,,,,,,
Primary Adrenocortical Insufficiency,Rare,20,80,both,Nausea,vomiting,diarrhea,darkening of the skin,,,,,,,,,,,,,,,,,,,,,
Primary Biliary Cholangitis,Common,20,80,both,Pale colored stools,dark urine,itchy skin,abdominal swelling,,,,,,,,,,,,,,,,,,,,,
Primary Cutaneous Anaplastic Large Cell Lymphoma,Rare,20,80,both,red or purple nodules,fever,fatigue,,,,,,,,,,,,,,,,,,,,,,
Primary Dysbetalipoproteinemia,Rare,20,80,both,Xanthomas (yellowish patches or bumps on the skin),chest pain,pancreatitis,,,,,,,,,,,,,,,,,,,,,,
Primary Focal Hyperhidrosis Of Axilla,Common,10,50,both,Wet patches on clothing,social discomfort,skin infections,,,,,,,,,,,,,,,,,,,,,,
Primary Genital Syphilis,Very rare,20,80,both,Hair loss,headache,sore throat,muscle aches,,,,,,,,,,,,,,,,,,,,,
Primary Hyperoxaluria Type I,Very rare,0,100,both,Kidney stones,Abdominal Pain,blood in urine,frequent urination,,,,,,,,,,,,,,,,,,,,,
Primary Hypogonadism Due To Bilateral Torsion Of Testes,Very rare,10,40,male,Testicular pain,swelling,nausea,vomiting,,,,,,,,,,,,,,,,,,,,,
Primary Hypogonadism Due To Orchitis,Very rare,10,40,male,Testicular pain,swelling,fever,chills,,,,,,,,,,,,,,,,,,,,,
Primary Immune Deficiency Disorder,Rare,0,100,both,Frequent infections,slow growth,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,,
"Primary Insulin,Like Growth Factor,1 Deficiency",Very rare,0,100,both,Short stature,delayed puberty,low energy levels,decreased muscle mass,,,,,,,,,,,,,,,,,,,,,
Primary Malignant Neoplasm Of Gastrointestinal Tract,Common,40,80,both,Abdominal Pain,bloating,changes in bowel habits,Weight loss,,,,,,,,,,,,,,,,,,,,,
"Primary Mediastinal Large B,Cell Lymphoma",Rare,20,80,both,Chest pain,Coughing,difficulty breathing,swollen lymph nodes,,,,,,,,,,,,,,,,,,,,,
Primary Ovarian Failure,Common,20,50,female,Irregular periods,hot flashes,vaginal dryness,infertility,,,,,,,,,,,,,,,,,,,,,
Primary Prevention Of Coronary Heart Disease,Common,20,100,both,High blood pressure,high cholesterol,chest pain,shortness of breath,,,,,,,,,,,,,,,,,,,,,
Primary Progressive Multiple Sclerosis,Rare,20,60,both,Fatigue,weakness,numbness or tingling,difficulty walking,,,,,,,,,,,,,,,,,,,,,
"Processing,Deficient Progeroid Laminopathy With Heterozygous Lmna Mutation",Very rare,0,100,both,Premature aging,joint stiffness,skin abnormalities,,,,,,,,,,,,,,,,,,,,,,
"Processing,Deficient Progeroid Laminopathy With Zmpste24 Mutation",Very rare,0,100,both,Premature aging,joint stiffness,skin abnormalities,,,,,,,,,,,,,,,,,,,,,,
Proctitis,Uncommon,20,80,both,Rectal pain,bleeding from the anus,diarrhea,constipation,,,,,,,,,,,,,,,,,,,,,
Progressive Chronic Lymphocytic Leukemia,Common,40,90,both,Fatigue,enlarged lymph nodes,night sweats,weight loss,,,,,,,,,,,,,,,,,,,,,
"Progressive Diffuse Large B,Cell Lymphoma",Rare,20,80,both,Enlarged lymph nodes,fever,Weight loss,night sweats,,,,,,,,,,,,,,,,,,,,,
Progressive Fibrosing Interstitial Lung Disease,Very rare,40,80,both,Shortness of breath,Coughing,fatigue,chest discomfort,,,,,,,,,,,,,,,,,,,,,
Progressive Keratoconus,Uncommon,10,40,both,Blurred or distorted vision,Sensitivity to light (photophobia),eye irritation,,,,,,,,,,,,,,,,,,,,,,
Progressive Vaccinia,Very rare,0,100,both,Rash,fever,headache,muscle aches,,,,,,,,,,,,,,,,,,,,,
Prophylaxis For Tympanostomy Tube Insertion,Uncommon,0,18,both,Recurrent ear infections,hearing loss,ear pain,fluid drainage from the ear,,,,,,,,,,,,,,,,,,,,,
Prophylaxis Of Anaphylactic Reaction Due To Dextran 40 Or Dextran 70 Infusion,Very rare,0,100,both,Itching,rash,difficulty breathing,swelling of the face or throat,,,,,,,,,,,,,,,,,,,,,
Propionic Acidemia,Rare,0,100,both,Poor feeding,vomiting,lethargy,seizures,,,,,,,,,,,,,,,,,,,,,
"Prostate,Specific Membrane Antigen,Positive Metastatic Castration,Resistant Prostate Cancer",Very rare,40,90,male,Bone pain,urinary symptoms,weight loss,fatigue,,,,,,,,,,,,,,,,,,,,,
Prostatic Cancer Metastases Imaging,Common,0,100,both,Bone pain,urinary symptoms,weight loss,fatigue,,,,,,,,,,,,,,,,,,,,,
Prostatic Carcinoma,Common,40,90,male,Urinary symptoms,blood in urine,erectile dysfunction,bone pain,,,,,,,,,,,,,,,,,,,,,
Prosthetic Arthroplasty Infection Prevention,Common,0,100,both,Fever,redness or warmth at the surgical site,wound drainage,joint pain,,,,,,,,,,,,,,,,,,,,,
Prosthetic Heart Valve Endocarditis,Very rare,0,100,both,Fever,chills,fatigue,shortness of breath,,,,,,,,,,,,,,,,,,,,,
Protein C Deficiency Disease,Rare,0,100,both,Excessive bleeding,bruising,skin necrosis,thrombosis,,,,,,,,,,,,,,,,,,,,,
Proteinuria Associated With Primary Immunoglobulin A Nephropathy,Common,20,80,both,Foamy urine,swelling,high blood pressure,fatigue,,,,,,,,,,,,,,,,,,,,,
Proteus Bronchitis,Very rare,0,100,both,Coughing,chest pain,shortness of breath,fever,,,,,,,,,,,,,,,,,,,,,
Proteus Cystitis,Very rare,0,100,both,unusual urinary urgency and frequency,,dysuria,Blood in urine,,,,,,,,,,,,,,,,,,,,,
Proteus Endometritis,Very rare,20,80,both,Pelvic pain,abnormal vaginal bleeding,vaginal discharge,fever,,,,,,,,,,,,,,,,,,,,,
Proteus Joint Infection,Very rare,20,80,both,Joint pain,swelling,redness,limited range of motion,,,,,,,,,,,,,,,,,,,,,
Proteus Meningitis,Very rare,0,100,both,Headache,fever,stiff neck,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,,,,
Proteus Mirabilis Osteomyelitis,Very rare,20,80,both,Bone pain,swelling,warmth,fever,,,,,,,,,,,,,,,,,,,,,
Proteus Mirabilis Urinary Tract Infection,Common,0,100,both,unusual urinary urgency and frequency,,dysuria,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,,
Proteus Pelvic Inflammatory Disease,Very rare,20,80,both,Pelvic pain,abnormal vaginal discharge,painful urination,fever,,,,,,,,,,,,,,,,,,,,,
Proteus Peritonitis,Very rare,20,80,both,Abdominal Pain,bloating,fever,nausea,,,,,,,,,,,,,,,,,,,,,
Proteus Pneumonia,Very rare,20,80,both,Chest pain,Coughing,fever,difficulty breathing,,,,,,,,,,,,,,,,,,,,,
Proteus Prostatitis,Very rare,20,80,male,pelvic pain or discomfort,frequent or urgent urination,difficulty urinating,,,,,,,,,,,,,,,,,,,,,,
Proteus Pyelonephritis,Very rare,20,80,both,Flank pain,fever,chills,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Proteus Septicemia,Very rare,20,80,both,Fever,chills,rapid breathing,rapid heart rate,,,,,,,,,,,,,,,,,,,,,
Proteus Urinary Tract Infection,Common,0,100,both,Frequent urination,burning sensation during urination,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,,,
Providencia Complicated Uti,Very rare,20,80,both,Frequent urination,urgency,burning sensation during urination,blood in urine,,,,,,,,,,,,,,,,,,,,,
Providencia Septicemia,Very rare,20,80,both,Fever,chills,rapid breathing,rapid heart rate,,,,,,,,,,,,,,,,,,,,,
Providencia Urinary Tract Infection,Very rare,0,100,both,Frequent urination,burning sensation during urination,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,,,
Prurigo Nodularis,Uncommon,0,100,both,Itchy,firm,raised lesions on the skin,,,,,,,,,,,,,,,,,,,,,,
Pruritus Ani,Common,0,100,both,Itching around the anus,especially at night,,,,,,,,,,,,,,,,,,,,,,,
Pruritus Due To Progressive Familial Intrahepatic Cholestasis,Rare,0,100,both,Itching,especially on the palms of hands and soles of feet,,,,,,,,,,,,,,,,,,,,,,,
"Pruritus In Hemodialysis,Dependent Chronic Kidney Disease",Common,20,80,both,Generalized itching,dry skin,skin irritation,,,,,,,,,,,,,,,,,,,,,,
Pruritus Of Skin,Common,0,100,both,Itching sensation on the skin,,,,,,,,,,,,,,,,,,,,,,,,
Pseudobulbar Affect,Uncommon,20,80,both,Involuntary episodes of crying or laughing unrelated to actual emotions,,,,,,,,,,,,,,,,,,,,,,,,
Pseudogout,Common,40,90,both,Sudden,Joint pain,swelling,redness,warmth,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Biliary Tract Infection,Very rare,20,80,both,Abdominal Pain,fever,Yellowing of the skin and eyes (jaundice),,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Bronchitis,Very rare,20,80,both,Coughing,chest discomfort,difficulty breathing,fever,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Complicated Appendicitis,Very rare,20,80,both,Abdominal Pain,fever,nausea,vomiting,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Cystitis,Very rare,20,80,both,Frequent urination,urgency,burning sensation during urination,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Infection,Common,20,80,both,Fever,chills,localized pain,inflammation,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Joint Infection,Very rare,0,100,both,Joint pain,swelling,redness,limited range of motion,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Meningitis,Very rare,20,80,both,Severe headache,fever,stiff neck,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Osteomyelitis,Very rare,20,80,both,Bone pain,swelling,warmth over the affected bone,fever,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Peritonitis,Very rare,20,80,both,Abdominal Pain,tenderness,distension,fever,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Pneumonia,Rare,0,100,both,Coughing,difficulty breathing,fever,chills,,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Septicemia,Very rare,20,80,both,Fever,chills,rapid breathing,rapid heart rate,confusion,,,,,,,,,,,,,,,,,,,,
Pseudomonas Aeruginosa Urinary Tract Infection,Very rare,0,100,both,Frequent urination,urgency,burning sensation during urination,"cloudy or foul,smelling urine",,,,,,,,,,,,,,,,,,,,,
Pseudomonas Respiratory Tract Infection In Cystic Fibrosis,Common,0,100,both,Coughing,chest discomfort,difficulty breathing,increased sputum production,,,,,,,,,,,,,,,,,,,,,
Psittacosis,Uncommon,0,100,both,Fever,headache,muscle aches,dry cough,difficulty breathing,,,,,,,,,,,,,,,,,,,,
Psoriasis,Common,0,100,both,Red,scaly skin,itching,burning or soreness,,,,,,,,,,,,,,,,,,,,,
Psoriatic Arthritis,Common,20,80,both,Joint pain,stiffness,swelling,redness,tenderness,reduced range of motion,,,,,,,,,,,,,,,,,,,
Psychosis Associated With Alzheimer's Disease,Common,60,90,both,Hallucinations,delusions,agitation,paranoia,,,,,,,,,,,,,,,,,,,,,
Psychosis Associated With Parkinson's Disease,Rare,60,90,both,Hallucinations,delusions,paranoia,cognitive decline,,,,,,,,,,,,,,,,,,,,,
Psychotic Disorder,Common,0,100,both,Delusions,hallucinations,disorganized thinking,disorganized behavior,,,,,,,,,,,,,,,,,,,,,
Pulmonary Actinomycosis,Rare,20,80,both,Coughing,chest pain,difficulty breathing,fever,,,,,,,,,,,,,,,,,,,,,
Pulmonary Arterial Hypertension,Uncommon,20,80,both,Shortness of breath,fatigue,chest pain,fainting spells,,,,,,,,,,,,,,,,,,,,,
Pulmonary Aspergillosis,Rare,0,100,both,Coughing,wheezing,shortness of breath,chest pain,,,,,,,,,,,,,,,,,,,,,
Pulmonary Blastomycosis,Very rare,0,100,both,Fever,Coughing,chest pain,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
Pulmonary Capillary Hemangiomatosis,Very rare,0,100,both,Shortness of breath,coughing,chest pain,fatigue,,,,,,,,,,,,,,,,,,,,,
Pulmonary Coccidioidomycosis,Very rare,0,100,both,Fever,Coughing,chest pain,difficulty breathing,fatigue,,,,,,,,,,,,,,,,,,,,
Pulmonary Cryptococcosis,Very rare,0,100,both,Headache,fever,Coughing,chest pain,confusion,,,,,,,,,,,,,,,,,,,,
Pulmonary Edema Due To Chronic Heart Failure,Common,0,100,both,Shortness of breath,swelling in legs and ankles,fatigue,rapid weight gain,,,,,,,,,,,,,,,,,,,,,
Pulmonary Emphysema,Common,20,80,both,Shortness of breath,coughing,wheezing,chest tightness,fatigue,,,,,,,,,,,,,,,,,,,,
"Pulmonary Emphysema Associated With Alpha,1,Proteinase Inhibitor Deficiency",Rare,20,80,both,Shortness of breath,wheezing,Coughing,recurrent respiratory infections,,,,,,,,,,,,,,,,,,,,,
Pulmonary Hypertension Associated With Interstitial Lung Disease,Rare,40,80,both,Shortness of breath,fatigue,chest pain,dizziness,fainting,,,,,,,,,,,,,,,,,,,,
"Pulmonary Multi,Drug Resistant Mycobacterium Tuberculosis",Rare,0,100,both,Coughing,chest pain,weight loss,fatigue,night sweats,,,,,,,,,,,,,,,,,,,,
Pulmonary Thromboembolism,Common,0,100,both,Shortness of breath,chest pain,rapid heartbeat,coughing up blood,,,,,,,,,,,,,,,,,,,,,
Pulmonary Thromboembolism Prevention,Common,0,100,both,No symptoms (as it's a preventive measure),,,,,,,,,,,,,,,,,,,,,,,,
Pulmonary Tuberculosis,Uncommon,0,100,both,Coughing,fever,night sweats,weight loss,fatigue,,,,,,,,,,,,,,,,,,,,
Punctate Epithelial Keratopathy,Rare,0,100,both,Eye redness,blurred vision,Sensitivity to light (photophobia),foreign body sensation in the eye,,,,,,,,,,,,,,,,,,,,,
Punctate Keratitis,Rare,0,100,both,Eye redness,Sensitivity to light (photophobia),blurred vision,eye pain,,,,,,,,,,,,,,,,,,,,,
Pure Red Cell Aplasia,Rare,0,100,both,Fatigue,weakness,pallor,shortness of breath,rapid heartbeat,,,,,,,,,,,,,,,,,,,,
Pure Red Cell Aplasia Associated With Chronic Lymphocytic Leukemia,Very rare,20,80,both,Fatigue,weakness,enlarged lymph nodes,frequent infections,,,,,,,,,,,,,,,,,,,,,
Pustular Psoriasis,Rare,0,100,both,"Red patches of skin with pus,filled bumps",itching,burning sensation,pain,,,,,,,,,,,,,,,,,,,,,
Pyelonephritis,Common,0,100,both,Fever,chills,back pain,Abdominal Pain,frequent urination,,,,,,,,,,,,,,,,,,,,
Pyoderma Gangrenosum,Rare,20,80,both,Painful skin ulcers,skin lesions with purulent discharge,skin discoloration,fever,,,,,,,,,,,,,,,,,,,,,
Pyridoxine Deficiency,Rare,0,100,both,Fatigue,weakness,irritability,depression,dermatitis,,,,,,,,,,,,,,,,,,,,
"Pyridoxine,Dependent Seizure",Very rare,0,10,both,Seizures,developmental delay,abnormal movements,intellectual disability,,,,,,,,,,,,,,,,,,,,,
Pyrimethamine Toxicity,Very rare,0,100,both,Nausea,vomiting,headache,dizziness,confusion,,,,,,,,,,,,,,,,,,,,
Q Fever,Rare,0,100,both,Fever,chills,sweats,muscle aches,headache,,,,,,,,,,,,,,,,,,,,
Q Fever Endocarditis,Very rare,0,100,both,Fever,night sweats,fatigue,weight loss,chest pain,,,,,,,,,,,,,,,,,,,,
Rabies Postexposure Prophylaxis,Common,0,100,both,Pain or tingling at the site of the bite,fever,headache,muscle aches,confusion,,,,,,,,,,,,,,,,,,,,
Rabies Vaccination,Common,0,100,both,Soreness at the injection site,Fever,headache,fatigue,muscle aches,,,,,,,,,,,,,,,,,,,,
"Radiation,Induced Mucositis",Uncommon,0,100,both,Painful sores or ulcers in the mouth or throat,difficulty swallowing,dry mouth,loss of appetite,,,,,,,,,,,,,,,,,,,,,
Raised Seborrheic Keratosis,Common,40,80,both,"Raised, wart, like growths on the skin",brown or black color,itching,irritation,,,,,,,,,,,,,,,,,,,,,
Rapid Cycling Bipolar Disorder,Common,20,60,both,Frequent mood swings,irritability,impulsivity,changes in energy levels,Difficulty sleeping,,,,,,,,,,,,,,,,,,,,
"Rat,Bite Fever",Very rare,0,100,both,Fever,headache,muscle pain,rash,joint pain,,,,,,,,,,,,,,,,,,,,
Raynaud's Phenomenon,Common,20,80,both,Cold fingers or toes,color changes in the skin in response to cold or stress,numbness or tingling in the extremities,,,,,,,,,,,,,,,,,,,,,,
Recrudescent Typhus,Rare,0,100,both,Fever,headache,muscle pain,rash,nausea,,,,,,,,,,,,,,,,,,,,
Rectal Chlamydia Trachomatis Infection,Rare,20,60,both,Rectal discharge,rectal pain,anal itching,bleeding,,,,,,,,,,,,,,,,,,,,,
Rectal Gonorrhea,Rare,20,60,both,Rectal discharge,rectal pain,painful bowel movements,anal itching,,,,,,,,,,,,,,,,,,,,,
Rectal Pain,Uncommon,0,100,both,Pain or discomfort in the rectum,itching,burning sensation,bleeding,,,,,,,,,,,,,,,,,,,,,
Recurrent Aphthous Stomatitis,Common,20,50,both,Painful mouth sores,difficulty eating or drinking,fever,fatigue,,,,,,,,,,,,,,,,,,,,,
Recurrent Calcium Renal Calculi,Rare,20,80,both,Flank pain,blood in urine,frequent urination,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Recurrent Clostridioides Difficile Infection,Common,20,80,both,Diarrhea,Abdominal Pain,fever,nausea,loss of appetite,,,,,,,,,,,,,,,,,,,,
Recurrent Herpes Genitalis,Common,20,60,both,Painful genital sores,itching or tingling in the genital area,Fever,,,,,,,,,,,,,,,,,,,,,,
Recurrent Herpes Simplex Labialis,Common,20,60,both,Tingling or burning sensation around the lips,"fluid,filled blisters",itching,,,,,,,,,,,,,,,,,,,,,,
Recurrent Mucocutaneous Herpes Simplex,Common,20,60,both,Blisters or sores on the lips,mouth,or genital area,itching,burning sensation,,,,,,,,,,,,,,,,,,,,
Recurrent Mucocutaneous Herpes Simplex In Human Immunodeficiency Virus Infected Patient,Rare,20,60,both,Blisters or sores on the lips,mouth,or genital area,fatigue,swollen lymph nodes,fever,,,,,,,,,,,,,,,,,,,
Recurrent Pericarditis,Common,20,80,both,Chest pain,fever,fatigue,shortness of breath,,,,,,,,,,,,,,,,,,,,,
Recurrent Vulvovaginal Candidiasis,Common,20,80,both,Vaginal itching,burning sensation during urination,vaginal discharge (white,thick,odorless),,,,,,,,,,,,,,,,,,,,
Reduction Of Allogeneic Blood Transfusion In Surgery,Common,0,100,both,Blood loss,anemia,fatigue,weakness,dizziness,,,,,,,,,,,,,,,,,,,,
Reduction Of Blood Transfusions In Cold Agglutinin Disease,Very rare,20,80,both,Fatigue,weakness,shortness of breath,Paleness,Yellowing of the skin and eyes (jaundice),,,,,,,,,,,,,,,,,,,,
Reflux Esophagitis,Common,20,80,both,Heartburn,chest pain,difficulty swallowing,regurgitation of food or sour liquid,,,,,,,,,,,,,,,,,,,,,
Refractory Aspergillosis,Rare,0,100,both,Coughing,wheezing,shortness of breath,fever,chest pain,,,,,,,,,,,,,,,,,,,,
Refractory Ewing's Sarcoma,Rare,0,100,both,Bone pain,swelling,tenderness,fatigue,fever,,,,,,,,,,,,,,,,,,,,
Refractory Malignant Tumor Of Testis,Rare,20,50,male,Testicular pain or discomfort,testicular lump or swelling,back pain,Abdominal Pain,,,,,,,,,,,,,,,,,,,,,
Refractory Mycobacterium Avium Complex Pulmonary Disease,Very rare,40,80,both,Coughing,fatigue,weight loss,night sweats,fever,,,,,,,,,,,,,,,,,,,,
Refractory Oropharyngeal Candidiasis,Rare,0,100,both,White patches in the mouth or throat,painful swallowing,loss of taste,,,,,,,,,,,,,,,,,,,,,,
Refractory Osteosarcoma,Rare,0,100,both,Bone pain,swelling or a lump in the affected area,fractures,fatigue,,,,,,,,,,,,,,,,,,,,,
Regional Anesthesia For Cesarean Section,Common,20,50,female,Numbness or loss of sensation in the lower body,reduced pain during cesarean section,minimal blood loss,reduced need for pain medication,,,,,,,,,,,,,,,,,,,,,
Regional Anesthesia For Labor Pain,Common,20,50,female,Reduced sensation in the lower body,decreased pain during labor,minimal blood loss,reduced need for pain medication,,,,,,,,,,,,,,,,,,,,,
Regional Anesthesia For Ophthalmologic Surgery,Common,0,100,both,Numbness or loss of sensation in the eye area,reduced pain during eye surgery,minimal intraoperative discomfort,,,,,,,,,,,,,,,,,,,,,,
Regional Anesthesia For Postoperative Pain,Common,0,100,both,Decreased postoperative pain,reduced need for opioid pain medication,faster recovery,,,,,,,,,,,,,,,,,,,,,,
Regional Anesthesia For Surgery,Common,0,100,both,Numbness or loss of sensation in the surgical area,reduced intraoperative pain,minimal blood loss,,,,,,,,,,,,,,,,,,,,,,
"Relapse Or Refractory Non,Hodgkin's Lymphoma",Rare,40,80,both,Enlarged lymph nodes,fever,night sweats,Weight loss,fatigue,,,,,,,,,,,,,,,,,,,,
Relapsed Chronic Lymphocytic Leukemia,Rare,40,80,both,Enlarged lymph nodes,fever,frequent infections,fatigue,night sweats,,,,,,,,,,,,,,,,,,,,
"Relapsed Follicular B,Cell Non,Hodgkin Lymphoma",Rare,40,80,both,Enlarged lymph nodes,fatigue,night sweats,weight loss,fever,,,,,,,,,,,,,,,,,,,,
Relapsing Fever,Very rare,0,100,both,Fever,headache,muscle pain,chills,sweating,joint pain,,,,,,,,,,,,,,,,,,,
Relapsing Form Of Multiple Sclerosis,Rare,20,60,both,Fatigue,weakness,numbness or tingling in limbs,vision problems,difficulty walking,,,,,,,,,,,,,,,,,,,,
Relapsing Polychondritis,Rare,20,80,both,Inflammation and swelling of cartilage,joint pain,fever,fatigue,,,,,,,,,,,,,,,,,,,,,
Relapsing Remitting Multiple Sclerosis,Rare,20,60,both,Fatigue,numbness or weakness in limbs,vision problems,difficulty with coordination or balance,,,,,,,,,,,,,,,,,,,,,
Renal Angiomyolipoma With Tuberous Sclerosis Complex,Rare,20,80,both,abdominal pain,blood in urine,palpable mass in the abdomen,hypertension,,,,,,,,,,,,,,,,,,,,,
Renal Artery Thrombosis,Rare,20,80,both,Sudden onset of severe abdominal pain,decreased urine output,blood in urine,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Renal Cell Carcinoma,Common,40,80,both,Blood in urine,flank pain,abdominal swelling,fatigue,weight loss,,,,,,,,,,,,,,,,,,,,
Renal Cell Carcinoma Adjuvant Therapy Following Nephrectomy,Rare,40,80,both,Fatigue,nausea,vomiting,diarrhea,hair loss,,,,,,,,,,,,,,,,,,,,
Renal Colic,Common,20,80,both,Severe pain in the flank or lower back,pain radiating to the groin or genitals,nausea,vomiting,,,,,,,,,,,,,,,,,,,,,
Renal Disease With Edema,Common,20,80,both,Swelling in the legs,hands,or face,shortness of breath,fatigue,foamy urine,,,,,,,,,,,,,,,,,,,
Renal Function Study,Common,0,100,both,Blood tests,urine tests,imaging studies to assess kidney function,glomerular filtration rate (GFR) testing,,,,,,,,,,,,,,,,,,,,,
Renal Osteodystrophy,Rare,20,80,both,Bone pain,bone deformities,fractures,joint pain,muscle weakness,,,,,,,,,,,,,,,,,,,,
Renal Osteodystrophy With Hyperphosphatemia,Rare,20,80,both,Bone pain,bone deformities,fractures,joint pain,muscle weakness,elevated phosphate levels in blood,,,,,,,,,,,,,,,,,,,
Renal Tubular Acidosis,Uncommon,20,80,both,Fatigue,weakness,confusion,decreased urine output,bone pain,,,,,,,,,,,,,,,,,,,,
Respiratory Cystic Fibrosis,Common,0,100,both,Coughing,wheezing,shortness of breath,frequent lung infections,poor growth,,,,,,,,,,,,,,,,,,,,
